primitive	importers	test_file
src/components/ui/Alert.tsx	4	1
src/components/ui/Badge.tsx	9	1
src/components/ui/Breadcrumbs.tsx	17	0
src/components/ui/Button.tsx	85	1
src/components/ui/Card.tsx	19	1
src/components/ui/ConfirmDialog.tsx	0	1
src/components/ui/CookieConsent.tsx	0	0
src/components/ui/EmptyState.tsx	0	0
src/components/ui/FeedbackWidget.tsx	1	0
src/components/ui/HighlightedText.tsx	0	0
src/components/ui/Input.tsx	15	1
src/components/ui/InteractiveCard.tsx	12	0
src/components/ui/Label.tsx	7	0
src/components/ui/LanguageSwitcher.tsx	0	0
src/components/ui/Logo.tsx	1	0
src/components/ui/LogoIcon.tsx	2	0
src/components/ui/Modal.tsx	1	1
src/components/ui/NotificationPrompt.tsx	1	0
src/components/ui/PageTransition.tsx	0	0
src/components/ui/Pagination.tsx	1	1
src/components/ui/ScrollManager.tsx	0	0
src/components/ui/Skeletons.tsx	2	0
src/components/ui/SkipLink.tsx	0	1
src/components/ui/ThemeToggle.tsx	0	0
src/components/ui/Typography.tsx	9	0
